Audit ID;Policy ID Number;Days of Delinquent Payment;Auto Policy;Homeowners Policy;Total Premium;Number of Delinquencies (Past 12 Months)
AUD13928103;4,8194E+11;8;VERDADERO;FALSO;$125,39;1
AUD13928104;4,8194E+11;10;VERDADERO;FALSO;$291,43;0
AUD13928105;4,8194E+11;8;VERDADERO;FALSO;$92,51;0
AUD13928106;4,8194E+11;8;FALSO;VERDADERO;$724,43;0
AUD13928107;4,8194E+11;9;VERDADERO;FALSO;$117,92;1
AUD13928108;4,8194E+11;8;VERDADERO;FALSO;$192,54;2
AUD13928109;4,8194E+11;2;VERDADERO;VERDADERO;$829,42;1
AUD13928110;4,8194E+11;9;VERDADERO;FALSO;$220,82;4
AUD13928111;4,8194E+11;1;VERDADERO;FALSO;$129,28;1
AUD13928112;4,8194E+11;9;VERDADERO;FALSO;$93,42;1
AUD13928113;4,8194E+11;10;FALSO;VERDADERO;$1.429,41;0
AUD13928114;4,8194E+11;4;VERDADERO;FALSO;$539,49;1
AUD13928115;4,8194E+11;22;VERDADERO;FALSO;$882,32;1
AUD13928116;4,8194E+11;1;VERDADERO;FALSO;$98,39;0
AUD13928117;4,8194E+11;13;VERDADERO;VERDADERO;$138,53;0
AUD13928118;4,8194E+11;15;FALSO;VERDADERO;$2.291,31;1
AUD13928119;4,8194E+11;4;VERDADERO;FALSO;$275,39;1
AUD13928120;4,8194E+11;9;VERDADERO;FALSO;$322,81;0
AUD13928121;4,8194E+11;2;VERDADERO;FALSO;$172,39;3
AUD13928122;4,8194E+11;8;VERDADERO;VERDADERO;$201,74;0
AUD13928123;4,8194E+11;4;VERDADERO;FALSO;$88,38;2
AUD13928124;4,8194E+11;1;VERDADERO;FALSO;$142,23;1
AUD13928125;4,8194E+11;9;FALSO;VERDADERO;$1.824,32;8
AUD13928126;4,8194E+11;5;VERDADERO;FALSO;$481,39;7
AUD13928127;4,8194E+11;8;VERDADERO;FALSO;$661,39;2
AUD13928128;4,8194E+11;9;VERDADERO;FALSO;$2.139,94;1
AUD13928129;4,8194E+11;5;VERDADERO;VERDADERO;$323,82;3
AUD13928130;4,8194E+11;9;VERDADERO;FALSO;$87,31;2
AUD13928131;4,8194E+11;7;VERDADERO;FALSO;$163,22;1
AUD13928132;4,8194E+11;9;VERDADERO;FALSO;$184,30;0
AUD13928133;4,8194E+11;10;VERDADERO;FALSO;$194,77;0
AUD13928134;4,8194E+11;7;FALSO;VERDADERO;$1.472,43;0
AUD13928135;4,8194E+11;2;VERDADERO;FALSO;$220,71;2
AUD13928136;4,8194E+11;4;VERDADERO;FALSO;$601,92;1
AUD13928137;4,8194E+11;9;VERDADERO;FALSO;$421,39;1
AUD13928138;4,8194E+11;8;VERDADERO;VERDADERO;$2.382,92;0
AUD13928139;4,8194E+11;4;VERDADERO;FALSO;$129,94;2
AUD13928140;4,8194E+11;2;VERDADERO;FALSO;$142,49;0
AUD13928141;4,8194E+11;10;VERDADERO;FALSO;$183,29;0
